ticker,name,sector,industry
A,"Agilent Technologies, Inc.",Healthcare,Diagnostics & Research
AAP,"Advance Auto Parts, Inc.",Consumer Cyclical,Specialty Retail
AAPL,Apple Inc.,Technology,Consumer Electronics
AAXN,"Axon Enterprise, Inc.",Industrials,Aerospace & Defense
ABB,ABB Ltd,Industrials,Specialty Industrial Machinery
ABBV,AbbVie Inc.,Healthcare,Drug Manufacturers - General
ABC,AmerisourceBergen Corporation,Healthcare,Medical Distribution
ABCL,AbCellera Biologics Inc.,Healthcare,Biotechnology
ABEV,Ambev S.A.,Consumer Defensive,Beverages - Brewers
ABMD,"Abiomed, Inc.",Healthcare,Medical Devices
ABNB,"Airbnb, Inc.",Communication Services,Internet Content & Information
ABT,Abbott Laboratories,Healthcare,Medical Devices
ACGL,Arch Capital Group Ltd.,Financial,Insurance - Diversified
ACN,Accenture plc,Technology,Information Technology Services
ADBE,Adobe Inc.,Technology,Software - Infrastructure
ADI,"Analog Devices, Inc.",Technology,Semiconductors
ADM,Archer-Daniels-Midland Company,Consumer Defensive,Farm Products
ADP,"Automatic Data Processing, Inc.",Industrials,Staffing & Employment Services
ADSK,"Autodesk, Inc.",Technology,Software - Application
AEE,Ameren Corporation,Utilities,Utilities - Regulated Electric
AEM,Agnico Eagle Mines Limited,Basic Materials,Gold
AEP,"American Electric Power Company, Inc.",Utilities,Utilities - Regulated Electric
AES,The AES Corporation,Utilities,Utilities - Diversified
AFL,Aflac Incorporated,Financial,Insurance - Life
AFRM,"Affirm Holdings, Inc.",Technology,Information Technology Services
AGR,"Avangrid, Inc.",Utilities,Utilities - Regulated Electric
AI,"C3.ai, Inc.",Technology,Information Technology Services
AIG,"American International Group, Inc.",Financial,Insurance - Diversified
AJG,Arthur J. Gallagher & Co.,Financial,Insurance Brokers
AKAM,"Akamai Technologies, Inc.",Technology,Software - Infrastructure
ALB,Albemarle Corporation,Basic Materials,Specialty Chemicals
ALC,Alcon Inc.,Healthcare,Medical Instruments & Supplies
ALGN,"Align Technology, Inc.",Healthcare,Medical Devices
ALL,The Allstate Corporation,Financial,Insurance - Property & Casualty
ALLE,Allegion plc,Industrials,Security & Protection Services
ALLY,Ally Financial Inc.,Financial,Credit Services
ALNY,"Alnylam Pharmaceuticals, Inc.",Healthcare,Biotechnology
ALXN,"Alexion Pharmaceuticals, Inc.",Healthcare,Biotechnology
AMAT,"Applied Materials, Inc.",Technology,Semiconductor Equipment & Materials
AMCR,Amcor plc,Consumer Cyclical,Packaging & Containers
AMD,"Advanced Micro Devices, Inc.",Technology,Semiconductors
AME,"AMETEK, Inc.",Industrials,Specialty Industrial Machinery
AMGN,Amgen Inc.,Healthcare,Drug Manufacturers - General
AMP,"Ameriprise Financial, Inc.",Financial,Asset Management
AMT,American Tower Corporation (REIT),Real Estate,REIT - Specialty
AMX,"America Movil, S.A.B. de C.V.",Communication Services,Telecom Services
AMZN,"Amazon.com, Inc.",Consumer Cyclical,Internet Retail
ANET,"Arista Networks, Inc.",Technology,Computer Hardware
ANSS,"ANSYS, Inc.",Technology,Software - Application
ANTM,"Anthem, Inc.",Healthcare,Healthcare Plans
AON,Aon Plc,Financial,Insurance Brokers
APD,"Air Products and Chemicals, Inc.",Basic Materials,Chemicals
APH,Amphenol Corporation,Technology,Electronic Components
APO,"Apollo Global Management, Inc.",Financial,Asset Management
