Description,VZ
Strategy Name,Short Term Simple Strategy
Trade actions from,2019-10-09 00:00:00
Trade actions to,2020-10-08 00:00:00
Look back periods,60
Prediction periods,1
Total number of trade days,252
In yrs rounded up,1
Total trades conducted,7
Account starting balance,50000
Account ending balance,51763.02439147033
Account share balance,0
Account Close Value,0
Profit/Loss,1763.0243914703315
Total Percentage return (whole period),3.526048782940663
Percentage return per yr,3.526048782940663
Banking returns,50750.0
RMSE,0.43672048401232416
Number of right calls,133
Right calls %,52.77777777777778
Number of wrong calls,119
Wrong calls %,47.22222222222222
